Attached,	Generation,	value,							
very,		Millenn.,	0.2817,							
very,		Gen X,		0.2568,							
very,		BB,		0.3137,							
very,		Silent,		0.3656,							
a little,	Millenn.,	0.3433,							
a little,	Gen X,		0.3708,							
a little,	BB,		0.3996,							
a little,	Silent,		0.4212,							
not really,	Millenn.,	0.2149,							
not really,	Gen X,		0.2584,							
not really,	BB,		0.1856,							
not really,	Silent,		0.1344,							
not,		Millenn.,	0.1601,							
not,		Gen X,		0.1140,							
not,		BB,		0.1011,							
not,		Silent,		0.788,							
