Identity,Imp,Religion,Value
Holocaust,Y,R,0.5805,
Holocaust,N,R,0.167,
Holocaust,Y,NR,0.2988,
Holocaust,N,NR,0.1040,
Moral Life,Y,R,0.5691,
Moral Life,N,R,0.281,
Moral Life,Y,NR,0.2834,
Moral Life,N,NR,0.1194,
Jewish Law,Y,R,0.4077,
Jewish Law,N,R,0.1895,
Jewish Law,Y,NR,0.1498,
Jewish Law,N,NR,0.2529,
Humour,Y,R,0.4448,
Humour,N,R,0.1524,
Humour,Y,NR,0.2334,
Humour,N,NR,0.1693,
Social Justice,Y,R,0.5468,
Social Justice,N,R,0.504,
Social Justice,Y,NR,0.2688,
Social Justice,N,NR,0.1340,
Intellect,Y,R,0.5110,
Intellect,N,R,0.862,
Intellect,Y,NR,0.2555,
Intellect,N,NR,0.1473,
Food,Y,R,0.3428,
Food,N,R,0.2544,
Food,Y,NR,0.1372,
Food,N,NR,0.2656,
Israel,Y,R,0.5492,
Israel,N,R,0.480,
Israel,Y,NR,0.2577,
Israel,N,NR,0.1451,
Community,Y,R,0.4838,
Community,N,R,0.1134,
Community,Y,NR,0.1715,
Community,N,NR,0.2313,
