id,parent id,value,,
Total pop,,"228,182",,
Christian,Total pop,"173,402",,
Catholic,Christian,"57,199",,
Baptist,Christian,"36,148",,
Protest.,Christian,"5,187",,
Methodi.,Christian,"11,366",,
Luthera.,Christian,"8,674",,
noden Ch,Christian,"16,834",,
Presbyt.,Christian,"4,723",,
Penteco.,Christian,"5,416",,
Evangel.,Christian,"2,154",,
Nondeno.,Christian,"8,032",,
Other R.,Total pop,"8,796",,
Jewish,Other R.,"2,680",,
Muslim,Other R.,"1,349",,
Buddhis.,Other R.,"1,189",,
unclass.,Other R.,"1,030",,
No Reli.,Total pop,"34,169",,
Atheist.,No Reli.,"1,621",,
Agnosti.,No Reli.,"1,985",,
